Date,SPX,Gold,DBC_syn,DGS10,DGS20,DGS30,UST10,UST20,UST30
1/30/1970,85.02,34.94,95.08,7.75,6.96,,112.29,104.81,
2/27/1970,89.5,34.99,95.21,6.9,6.55,,120.06,110.31,
3/31/1970,89.63,35.09,95.4,7.08,6.68,,119.21,109.34,
4/30/1970,81.52,35.62,95.51,7.82,7.07,,114.05,105.54,
5/29/1970,76.55,35.95,95.44,7.95,7.46,,113.77,102.02,
6/30/1970,72.72,35.42,95.1,7.68,7.11,,116.64,106.52,
7/31/1970,78.05,35.32,95.21,7.38,6.91,,119.83,109.46,
8/31/1970,81.52,35.38,95.27,7.49,7,,119.64,109.02,
9/30/1970,84.3,36.19,95.8,7.29,6.81,,122.05,111.92,
10/30/1970,83.25,37.52,96.32,7.33,6.9,,122.43,111.46,
11/30/1970,87.2,37.44,96.42,6.49,6.39,,130.92,118.70,
12/31/1970,92.15,37.44,96.38,6.5,6.45,,131.51,118.53,
1/29/1971,95.88,37.88,115.5,6.09,6.07,,136.27,124.48,
2/26/1971,96.75,38.74,115.66,6.14,6.24,,136.44,122.73,
3/31/1971,100.31,38.87,116.29,5.53,5.83,,143.63,129.44,
4/30/1971,103.95,39.01,116.43,6.08,6.1,,138.57,126.14,
5/31/1971,99.63,40.52,116.74,6.38,6.27,,136.26,124.37,
6/30/1971,98.7,40.1,116.71,6.7,6.44,,133.87,122.67,
7/30/1971,95.58,40.95,121.47,6.85,6.43,,133.16,123.45,
8/31/1971,99.03,42.71,121.84,6.28,6.09,,139.62,129.04,
9/30/1971,98.34,42.03,120.62,6,5.97,,143.28,131.49,
10/29/1971,94.23,42.5,120.81,5.87,5.87,,145.38,133.67,
11/30/1971,93.99,42.86,120.95,5.93,5.95,,145.42,133.08,
12/31/1971,102.09,43.48,121.97,5.89,5.99,,146.56,133.11,
1/31/1972,103.94,45.75,124.58,6.09,6.09,,145.11,132.24,
2/29/1972,106.57,48.26,125.43,6.04,6.03,,146.36,133.81,
3/31/1972,107.2,48.33,126.11,6.12,6.11,,146.22,133.25,
4/28/1972,107.67,49.03,126.59,6.14,6.12,,146.73,133.75,
5/31/1972,109.53,54.62,126.71,6.05,5.96,,148.44,136.93,
6/30/1972,107.14,62.09,127.27,6.15,6.05,,148.08,136.18,
7/31/1972,107.39,65.66,132.07,6.12,5.98,,149.15,137.96,
8/31/1972,111.09,67.03,133.26,6.42,5.99,,146.67,138.47,
9/29/1972,110.55,65.46,136.08,6.54,6.09,,146.16,137.57,
10/31/1972,111.58,64.86,137.55,6.41,5.93,,148.33,140.84,
11/30/1972,116.67,62.91,138.66,6.28,5.82,,150.52,143.35,
12/29/1972,118.05,63.91,143.1,6.41,6.03,,149.87,140.62,
1/31/1973,116.03,65.14,156.43,6.54,6.86,,148.64,129.07,
2/28/1973,111.68,74.2,160.08,6.64,6.9,,147.75,128.73,
3/30/1973,111.52,84.37,164.54,6.73,6.89,,146.98,129.08,
4/30/1973,106.97,90.5,178.79,6.7,6.91,,147.47,129.01,
5/31/1973,104.95,101.96,185.85,6.93,7.05,,145.25,127.33,
6/29/1973,104.26,120.12,196.33,6.94,7.13,,145.33,126.47,
7/31/1973,108.22,120.17,214.58,7.43,7.63,,140.65,120.48,
8/31/1973,104.25,106.76,230.58,7.25,7.35,,142.61,124.26,
9/28/1973,108.43,102.97,226.88,6.9,7.05,,146.40,128.53,
10/31/1973,108.29,100.08,292.36,6.71,7.3,,148.59,125.45,
11/30/1973,95.96,94.92,297.19,6.69,7.22,,148.99,126.72,
12/31/1973,97.55,106.72,304.86,6.9,7.38,,146.95,124.85,
1/31/1974,96.57,129.19,675.7,7,7.48,,146.09,123.78,
2/28/1974,96.22,150.13,716.47,7.01,7.57,,146.16,122.86,
3/29/1974,93.98,168.42,725.42,7.41,7.89,,142.33,119.23,
4/30/1974,90.31,172.24,646.04,7.66,8.19,,140.08,116.01,
5/31/1974,87.28,163.27,641.07,7.52,8.13,,141.61,116.89,
6/28/1974,86,154.1,639.16,7.64,8.17,,140.62,116.63,
7/31/1974,79.31,142.98,619.43,7.89,8.33,,138.41,115.04,
8/30/1974,72.15,154.64,634.4,8.11,8.64,,136.54,111.94,
9/30/1974,63.54,151.75,623.71,7.94,8.49,,138.30,113.74,
10/31/1974,73.9,158.78,653.32,7.79,8.12,,139.89,118.17,
11/29/1974,69.97,181.66,672.88,7.64,7.96,,141.52,120.27,
12/31/1974,68.56,183.78,659.34,7.4,7.93,,144.09,120.82,
1/31/1975,76.98,176.27,643.35,7.53,7.82,,142.97,122.37,
2/28/1975,81.59,179.6,634.25,7.46,7.72,,143.84,123.82,
3/31/1975,83.36,178.16,624.93,8.01,8.24,,138.77,118.00,
4/30/1975,87.3,169.84,614.86,8.31,8.44,,136.18,115.97,
5/30/1975,91.15,167.39,596.12,8.04,8.2,,138.87,118.92,
6/30/1975,95.19,164.24,585.86,7.96,8.09,,139.79,120.41,
7/31/1975,88.75,165.17,605.25,8.2,8.31,,137.73,118.09,
8/29/1975,86.88,163,619.86,8.22,8.42,,137.71,117.05,
9/30/1975,83.87,144.17,603.72,8.48,8.61,,135.52,115.17,
10/31/1975,89.04,142.79,594.31,7.91,8.15,,141.08,120.72,
11/28/1975,91.24,142.42,584.12,8.14,8.34,,139.08,118.74,
12/31/1975,90.19,139.3,578.24,7.76,8.04,,142.94,122.53,
1/30/1976,100.86,131.05,611.46,7.8,8,,142.72,123.21,
2/27/1976,99.71,131.06,615.86,7.77,8.02,,143.19,123.18,
3/31/1976,102.77,132.76,621.97,7.66,7.9,,144.45,124.87,
4/30/1976,101.64,127.94,621.8,7.67,7.99,,144.52,123.97,
5/31/1976,100.18,126.92,624.26,7.96,8.19,,141.88,121.79,
6/30/1976,104.28,125.71,628.99,7.86,8.02,,143.03,124.06,
7/30/1976,103.44,117.73,634.94,7.86,8.04,,143.20,124.02,
8/31/1976,102.91,109.93,610.28,7.66,7.81,,145.36,127.14,
9/30/1976,105.24,114.15,605.06,7.55,7.75,,146.65,128.12,
10/29/1976,102.9,116.15,604.7,7.42,7.72,,148.16,128.72,
11/30/1976,102.1,130.46,606.83,7.01,7.44,,152.74,132.73,
12/31/1976,107.46,133.93,610.75,6.81,7.17,,155.13,136.81,
1/31/1977,102.03,132.26,639.99,7.4,7.61,,149.10,131.10,
2/28/1977,99.82,136.24,645.69,7.45,7.73,7.8,148.76,129.75,100
3/31/1977,98.42,148.23,657.51,7.42,7.72,7.79,149.25,130.09,100.29
4/29/1977,98.44,149.17,658.06,7.45,7.72,7.8,149.12,130.31,100.34
5/31/1977,96.12,146.61,643.75,7.38,7.68,7.74,150.03,131.05,101.21
6/30/1977,100.48,140.78,628.23,7.2,7.57,7.58,152.12,132.75,103.33
7/29/1977,98.85,143.39,628.98,7.42,7.68,7.72,150.00,131.51,101.85
8/31/1977,96.77,144.94,626.54,7.28,7.53,7.6,151.66,133.77,103.48
9/30/1977,96.53,149.53,625.9,7.41,7.61,7.68,150.47,132.91,102.69
10/31/1977,92.34,158.95,634.4,7.62,7.76,7.83,148.49,131.14,101.13
11/30/1977,94.83,162.1,646.96,7.55,7.75,7.83,149.39,131.49,101.30
12/30/1977,95.1,160.45,656.47,7.78,7.98,8.03,147.24,128.76,99.23
1/31/1978,89.25,173.18,665.08,7.94,8.16,8.18,145.82,126.73,97.77
2/28/1978,87.04,178.14,668.79,8.04,8.21,8.25,145.01,126.33,97.19
3/31/1978,89.21,183.61,682.28,8.15,8.31,8.33,144.11,125.32,96.51
4/28/1978,96.83,175.28,688.83,8.24,8.37,8.39,143.42,124.81,96.04
5/31/1978,97.24,176.31,685.46,8.42,8.5,8.5,141.88,123.48,95.08
6/30/1978,95.53,183.75,690.32,8.62,8.67,8.62,140.19,121.73,94.04
7/31/1978,100.68,188.73,690.52,8.56,8.59,8.56,140.92,122.86,94.81
8/31/1978,103.29,206.3,702.66,8.39,8.43,8.46,142.70,124.97,96.00
9/29/1978,102.54,212.08,712.81,8.56,8.63,8.61,141.28,122.85,94.65
10/31/1978,93.15,227.44,734.04,8.96,8.9,8.87,137.83,120.04,92.31
11/30/1978,94.7,206.2,733.66,8.86,8.8,8.8,138.90,121.37,93.15
12/29/1978,96.11,207.85,775.43,9.15,8.99,8.96,136.50,119.47,91.79
1/31/1979,99.93,227.28,828.53,8.95,8.9,8.85,138.45,120.67,93.01
2/28/1979,96.28,245.67,958.85,9.17,9.12,9.08,136.67,118.49,91.03
3/30/1979,101.59,242.05,1000.75,9.11,9.07,9.02,137.37,119.23,91.75
4/30/1979,101.76,239.11,1005.56,9.35,9.26,9.22,135.44,117.41,90.08
5/31/1979,99.08,257.59,1353.72,9.06,9.08,9.08,138.19,119.56,91.54
6/29/1979,102.91,279.07,1363.73,8.81,8.82,8.83,140.64,122.71,94.16
7/31/1979,103.81,294.74,1356.65,9.01,8.98,8.99,139.00,121.12,92.78
8/31/1979,109.32,300.82,1358.65,9.24,9.1,9.09,137.13,120.01,92.00
9/28/1979,109.32,354.95,1455.37,9.44,9.31,9.25,135.56,117.97,90.69
10/31/1979,101.82,391.66,1514.97,10.72,10.4,10.19,125.79,108.22,83.56
11/30/1979,106.16,391.99,1599.17,10.38,10.1,10.09,128.60,111.22,84.50
12/31/1979,107.94,455.08,1643.62,10.33,10.16,10.11,129.15,110.84,84.48
1/31/1980,114.16,675.31,1725.95,11.13,11.16,11.09,123.37,102.79,78.03
2/29/1980,113.66,665.32,1713.75,12.72,12.12,12.25,113.28,96.04,71.62
3/31/1980,102.09,553.58,1616.99,12.64,12.44,12.31,113.93,93.99,71.40
4/30/1980,106.29,517.41,1559.95,10.76,10.92,10.89,128.00,106.83,81.51
5/30/1980,111.24,513.8,1605.05,10.25,10.46,10.37,132.27,111.21,85.71
